document,sentence,cosine_with_dovish,cosine_with_hawkish
20180926.txt,And do you have any concerns about the eff ect of these types of commen ts on the perception of the Fed’s independence and your monetary policy?,0.669833,0.290936
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,"So we’ve been gi ven a really important job to  do on behalf of the American people by Congress , and we’ve been given the tools  to do it, and my colleagues

September 26, 2018 Chairman Powe ll’s Press Conference FINAL and I are focused exclusively on carrying out that mission.",0.549782,0.443764
20180926.txt,"We consider the best thinking, the best theory, and the be st evidence.",0.654550,0.359911
20180926.txt,"We have  disparate points o f view, which we debate extensively and come to a perspe ctive and try to set monetary p olicy to achieve maximum employment in a context of pri ce stability.",0.748937,0.493819
20180926.txt,That’s what we do.,0.579797,0.115372
20180926.txt,We don’t consider political factors or things like that.,0.613856,0.088015
20180926.txt,"A nd so that’s who we are, that’s what we do, and that’s just the way it’s always going to be for us.",0.619009,0.280822
20180926.txt,STEVE LIESMAN.,0.481762,0.015618
20180926.txt,"Steve Liesman, CNBC.",0.464920,0.038678
20180926.txt,"Thank you, Mr. Chairman.",0.528086,0.419394
20180926.txt,"Can you explain how—the stock market be ing at a near all-time high, cor porate spreads being very tight—how does the level of the market factor into your decisio ns to raise interest rates?",0.632384,0.448513
20180926.txt,Is there a concern on your part?,0.529042,0.173228
20180926.txt,"And then, as sort of a second and rela ted part, can you tell us what happens in 2020 and 2021 that—I know you can’t tell us when you ’re shaking your head [laughter]—that prompts—that pr ompts you—the Fed to think that the rates need to still be above neutral in that time period?",0.630545,0.222425
20180926.txt,Thank you.,0.520864,0.334204
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,Sure.,0.528740,0.284571
20180926.txt,"So in ter ms of financial markets and m onetary policy, we—as we say in our statement every cycle, we do take financial conditions into consideration because financial—broader financial conditions do affect the br oader economy, and they’re one of the many things that we tak e into account.",0.746663,0.381584
20180926.txt,"T he part of it t hat we control, though, is what we do with the federal funds rate a nd that has—that has effects ou t through, you know, out through the full interest rate curve a nd into financial asset prices ge nerally.",0.629590,0.178607
20180926.txt,"So the answer is, we take everything into account, but, you know, broader financial condi tions are just one of the things that we take into account.",0.647023,0.203801
20180926.txt,"In terms of ’20 and ’21, why—your que stion was why the funds ra te needs to be above neutral?",0.627792,0.267404
20180926.txt,So you’re right.,0.519790,0.358008
20180926.txt,"Some  of—some of the participants have mostly very modest

September 26, 2018 Chairman Powe ll’s Press Conference FINAL overshoots of their personal estimates of neutral a couple—thre e years out.",0.356325,0.105474
20180926.txt,"You know, it’s far out into the future.",0.599937,0.232147
20180926.txt,I think it’ s hard to be confident that th at’s—that that’s t he way things are going to be.,0.664631,0.392833
20180926.txt,What we’re going to be  doing as we—as we go throu gh time is asking at every meeting whether monetary polic y is set to achieve our goals.,0.733362,0.439758
20180926.txt,"And I think that that’s an assessment of where policy will  need to be some years down the road, and I’ll leave it at that.",0.727275,0.343578
20180926.txt,HOWARD SCHNEIDER.,0.502293,0.048696
20180926.txt,Thanks.,0.500434,0.319605
20180926.txt,Howar d Schneider with Reuters.,0.457305,0.073886
20180926.txt,"Cha ir Powell, I think—is this too good to be true?",0.477381,0.158191
20180926.txt,"Because you’ve got four years here of unemployment below 4 percent—very low, substantiall y below NAIRU, what appears to be NAIRU—but no reaction of inflation there.",0.584252,0.311320
20180926.txt,And so I don’t think that’s ever happened since the 1960s.,0.580540,0.222840
20180926.txt,Why do you think it’s going to happen now?,0.537427,0.092774
20180926.txt,"Or in the alternative, is this forec ast for unemployment just being driven by your confidence interva ls to the extent that, well, w e don’t know what else to do, so just extend the lie out—line out until something happens?",0.581562,0.154376
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,"No, you’re right .",0.448674,0.289555
20180926.txt,"The Committee forecasts wh at they—what they show, in general, is an economy where unemployment remains  in the high and middle 3s throughout the entire forecast period and inflation remains ver y close to 2 percent.",0.605850,0.336490
20180926.txt,That is what the forecast shows.,0.664135,0.270166
20180926.txt,"And that is based on our understanding of the way the inflation process works now and on the fact that the inflation seems to be fairly  nonreactive to changes in slack— that is to say, a flat Phillips curve.",0.732634,0.484272
20180926.txt,And it’s just—it’s a—it’s a world of strongly anchored inflation expectations.,0.503530,0.476200
20180926.txt,"And that’s not just our forecast, that ’s many forecasts.",0.589359,0.278166
20180926.txt,So that is—that is —that is the forecast.,0.632220,0.212010
20180926.txt,"So you may ask—I mean, the sense is, what does the longer-run natural rate of unemployment mean?",0.515750,0.142246
20180926.txt,And s o that really is a longer-run concept that we think the economy will return to over the longer run.,0.673553,0.529879
20180926.txt,"But, obviously, that longer run, you know, isn’t— it’s not creating problems in the  short run for that forecast.",0.578956,0.435312
20180926.txt,"September 26, 2018 Chairman Powe ll’s Press Conference FINAL Now let’s just admit that the i nflation process  has changed dra matically from where it was in the 1960s to where it is now.",0.653427,0.374208
20180926.txt,It’s in a good place now.,0.507612,0.556517
20180926.txt,"We can’t take for granted that it will remain the way it is, and, you know, we will be, of course , watching carefu lly.",0.710213,0.414652
20180926.txt,"If inflation reacts more strongly or more weak ly to the strong economy, then  we’ll adjust policy appropriately.",0.819745,0.641754
20180926.txt,HOWARD SCHNEIDER.,0.502293,0.048696
20180926.txt,"If I coul d follow up on that, what are you buying with interest rates?",0.588838,0.174150
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,"Well, interes t rates, of course, have effects  on growth, have effects—I mean if—I guess the —your question was, what are you buying with by raising interest rates?",0.608767,0.282086
20180926.txt,"The question is, what  would the economy look like if yo u didn’t raise ra tes?",0.561336,0.148839
20180926.txt,"It would look very different, I think, if we didn’t raise rates.",0.725942,0.484214
20180926.txt,"We’re always trying to, you know, w ork our way between the—sort of the two—the two problems we face.",0.637881,0.293553
20180926.txt,"One is that  if we move too quickly, we can, you know, snuff out a recovery unnecessarily, and inflation falls short of its 2 percent targe t.  Or if we move too slowly, we have an economy that can overheat.",0.566291,0.360432
20180926.txt,So w e’re—that—that’s happened th rough history.,0.465042,0.209973
20180926.txt,"We don’t see any signs of that now, but we’re a lways trying to navigate betw een those two shoals.",0.535921,0.365760
20180926.txt,"And we think that gradually, you know, rai sing interest rates is the way that we kind of take both of those risks seriously.",0.719625,0.529544
20180926.txt,SAM FLEMING.,0.448079,0.063864
20180926.txt,Thanks very much.,0.479522,0.392963
20180926.txt,Sam Fleming from the Financial Times.,0.419970,0.127316
20180926.txt,The Fed has recently been saying that fin ancial stability risks are mod erate.,0.556302,0.572582
20180926.txt,What kind of developments could prompt a change in that asse ssment to elevated risks?,0.664593,0.327805
20180926.txt,"And is there an argument for moving the countercyclical capita l buffer, even when risks are moderate, rather than waiting until the risks are seen as elevated, which, arguably, could be  too late?",0.688503,0.426499
20180926.txt,Thanks.,0.500434,0.319605
20180926.txt,"September 26, 2018 Chairman Powe ll’s Press Conference FINAL CHAIRMAN POWELL.",0.522601,0.089471
20180926.txt,So I think one of  the most important lessons from the financial crisis is really the importan ce of the stability of the financi al system.,0.615388,0.539018
20180926.txt,"And so we—since the financial crisis, as you’re aw are, we’ve had a major focus on b uilding up our monitoring of financial conditions and financial  stability issues.",0.674901,0.497051
20180926.txt,"We’ve als o put in place many, many initiatives to strengthen the f inancial system through higher c apital and better re gulation, more transparency, central clearing, margins on uncleared derivatives, all kinds of things like that, which are meant to strengthen the  financial system.",0.530120,0.595191
20180926.txt,"We’ve done many of those things, and we feel that the financial system is in a much better place.",0.495629,0.628043
20180926.txt,"As we look at—as we look at conditions most recently—and this was at our last meeting, and it was in our minutes for the last meeting—quarterly, we ha ve a briefing at the FOMC, and also at the Board, of the staffs’  views on financial stability,  and the staff judged the overall vulnerabilities to be moderate .",0.638221,0.555109
20180926.txt,"If you dig into the different aspects of that que stion, households or balance sheets are in good sha pe.",0.618382,0.312405
20180926.txt,"You know, employment is h igh, wages are rising, that sort of thing.",0.511002,0.448106
20180926.txt,"The banking system, as I mentioned, is—you know, muc h higher capital, much higher liquidity—is much stronger.",0.505103,0.617402
20180926.txt,"I f you look at asset prices, it is  true that some asset prices are in the upper range of their historical —upper reach of their historical ranges.",0.683557,0.253054
20180926.txt,"And then if you look at nonfinancial corporates, you get—th ere is the story of leverage there.",0.541420,0.143561
20180926.txt,"So it’s not that there aren’t any vulnerabilities, but we see them as moderate.",0.668876,0.432179
20180926.txt,"Now, you ask about the countercyc lical capital buffer.",0.629882,0.265453
20180926.txt,"The cou ntercyclical capital buffer is a tool that we added to our  toolkit, I think, finally, back in 2016.",0.582405,0.365360
20180926.txt,We said that we would deploy it when vulnerabilities were meaningfully above normal.,0.709523,0.425276
20180926.txt,"We revisit that on a regular schedule, and the last time we r evisited it was, I think, last year—sometime last year—and concluded that the test was not  met.",0.662667,0.281934
20180926.txt,"As I mentioned at the las t briefing, the—you know, the

September 26, 2018 Chairman Powe ll’s Press Conference FINAL assessment was that vulnerabili ties were moderate, but it remains a kit—a tool for our toolkit that we can deploy, you know, when and as we feel appropriate.",0.654627,0.509685
20180926.txt,SAM FLEMING.,0.448079,0.063864
20180926.txt,Has the chance of  needing to deploy it increased?,0.482234,0.560473
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,"As I said, I think I’m in the camp of seeing vulnerabilities as relatively moderate.",0.676812,0.516353
20180926.txt,I think the f inancial system—I think another thing that we learned in the crisis is that we need to be alert to the buildup of vulnerabil ities as a long expansion continues.,0.712075,0.537303
20180926.txt,"I don’t see that in troubling—troubl ing amounts at this point, but, you know, I think it’s appropriate for us to monitor that very carefully.",0.751943,0.499390
20180926.txt,MARTY CRUTSINGER.,0.474962,-0.016492
20180926.txt,"Marty Crutsi nger, Associated Press.",0.480385,0.101822
20180926.txt,"The researchers at the European Central Bank this wee k put out a paper saying that the  impact of a trade war on the U.S. could be dire, that the  U.S. economy could drop by 2 perce nt in the first year after a widespread trade war.",0.095226,0.183060
20180926.txt,"Could you talk about the discussion you’ve had—your policy statement, does it mention the trade ten sions?",0.615207,0.160546
20180926.txt,You did not mention them.,0.563182,0.132798
20180926.txt,What do you—what kind of outlook do you have right now for the trade war?,0.582751,0.157285
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,Sure.,0.528740,0.284571
20180926.txt,"So I gue ss I need to start by saying t hat we’re not responsible for trade polic y, and we don’t comment on particula r, you know, trade actions and that sort of thing.",0.638191,0.142248
20180926.txt,"But you will ha ve seen that we have this v ery extensive network of business contacts around the country through the Reserve Banks largely, and we’ve been hearing a rising chorus of concerns from businesse s all over the country about d isruption of supply chains, materials costs and increases, and loss of markets, and things like that.",0.431667,0.373315
20180926.txt,"So we’ve been hearing quite a lot of that, and we—the Reserve Bank presidents talk ab out it in the meeting, and it goes in the minutes.",0.623157,0.236937
20180926.txt,"So we, you know, tha t’s—we’re very transparent  about hearing a ll that.",0.621752,0.293755
20180926.txt,I think if you look at the aggregate perfor m—the performance of the U.S .,0.646045,0.399747
20180926.txt,"economy at an aggregate—at

September 26, 2018 Chairman Powe ll’s Press Conference FINAL a national level, it’s hard to see much happening at this point.",0.586862,0.147196
20180926.txt,"And—or you can look at it the other way: You can ask, if all  of the tariffs that have been a nnounced are applied, what would be the effect at the aggregate le vel?",0.608094,0.138744
20180926.txt,And they’re still relativel y small.,0.530750,0.247554
20180926.txt,"You know, we worry about a couple of things.",0.550958,0.178892
20180926.txt,"One is loss of business confidence, which could reduce investment.",0.250655,0.169228
20180926.txt,"Agai n, we don’t really see effects th at we could measure yet.",0.617797,0.342963
20180926.txt,"Also, the possibility of a financial market reaction over time to une xpected trade developments.",0.637637,0.505280
20180926.txt,"More than anything, though, I would worry, in the longer run, where this is going, you know.",0.689619,0.380257
20180926.txt,"If the— if the end place we get to is lower tariffs, that would be good , you know.",0.598057,0.560206
20180926.txt,"Trade generally supports productivity, supports higher incomes.",0.551475,0.582321
20180926.txt,"And, you know,  fair trade—fair trade under internationally accepted rules can be a good thing.",0.569231,0.446187
20180926.txt,"I think if  this, perhaps inadvertently, goes to a place where we have widespread tariffs that remain in place for  a long time—a more protectionist world—that’s goi ng to be bad for the United States’ economy and for American workers, and families, and also for other economies.",0.372970,0.227483
20180926.txt,HEATHER LONG.,0.453865,0.036089
20180926.txt,"Hi, Heather Long from the Washington Post.",0.430758,0.139226
20180926.txt,This is the third time this year that the FOMC has raised its growth forecasts.,0.598420,0.621003
20180926.txt,I’m w ondering if you could share a little bit about what’s causing that rise and whether you see supply-s ide effects coming through from the fiscal policy—fiscal stimulus yet.,0.635351,0.469393
20180926.txt,Thanks.,0.500434,0.319605
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,So it’s true.,0.499304,0.250178
20180926.txt,This year has—we’ve kept raisi ng our forecast for this year.,0.674056,0.484949
20180926.txt,"This—as the year’s gone on, the economy has come in stronger than we expected, and that’s a really good thing.",0.236909,0.704852
20180926.txt,"And the  economy, as I mentioned at  the beginning, is strong, and there’s good reason to expect that to continue.",0.486386,0.665883
20180926.txt,You ask why.,0.559206,0.131545
20180926.txt,"You know, some of it is, no doubt, the effect of the fiscal policy c hanges, the tax cuts, and the spending increases—that’s got to be part of the story.",0.607057,0.229560
20180926.txt,"Part of it may be higher oil prices, which are calling for more investment in the

September 26, 2018 Chairman Powe ll’s Press Conference FINAL oil patch.",0.531927,0.565195
20180926.txt,"But, you know, the growt h picture is very much supported by very high readings of household confidence, business c onfidence, so it’s a—it’s a—it’ s a—it’s a pretty particularly bright moment, I think.",0.445359,0.611474
20180926.txt,"If you look back over the last decade, this is a pretty good moment for the U.S. economy.",0.585610,0.558829
20180926.txt,HEATHER LONG.,0.453865,0.036089
20180926.txt,And the supply-side effects?,0.493406,0.052786
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,"Oh, supply- side effects, yeah.",0.455841,0.307576
20180926.txt,"So, you know,  we hope they’re huge, frankly.",0.583214,0.400994
20180926.txt,"You know, the idea is, you cut—you reduce taxation on corporations and particularly—and allow faster expensing for investment.",0.599168,0.382534
20180926.txt,"The id ea is to encourage more investment, and that is one of the things that drives productivity, which is one of the main things that drives rising incomes.",0.604015,0.497863
20180926.txt,"So t he effects are very uncertain,  they’re—you know, they’re—the literature is—it’s—there’s no cl ear answer to exactly how these  mechanisms work or how effective they are.",0.619110,0.162353
20180926.txt,And it w ould be soon to be seeing supply-s ide effects.,0.436995,0.356186
20180926.txt,The other—supply- side effects are probably both more uncertain and they’re proba bly slower to come in.,0.558215,0.333122
20180926.txt,"But, you know, as I said, we—I certainly hop e—I hope that we’ll be marki ng up our estimates of potential growth as well.",0.578820,0.574663
20180926.txt,CRAIG TORRES.,0.432519,0.000929
20180926.txt,Craig Torres from Bloomberg News.,0.415809,0.068692
20180926.txt,"Taking a page  from your risk- management approach in Jackson H ole, Mr. Chairman, I’m wonderin g if you can talk about what risks would make the Committee —plausible risks—go faster in 201 9.",0.639288,0.359386
20180926.txt,What risks would make them go slower?,0.579555,0.244397
20180926.txt,If you could talk about scenarios.,0.517203,0.112351
20180926.txt,"And then I’d like to ask, do you see yourself, as this stimulus tails off, which it does in the forecast, poss ibly cutting rates to soft-land the economy?",0.663680,0.378791
20180926.txt,"I know the forecast doesn ’t show that, but I’m curiou s how you soft-land without doing that.",0.662406,0.296812
20180926.txt,"September 26, 2018 Chairman Powe ll’s Press Conference FINAL CHAIRMAN POWELL.",0.522601,0.089471
20180926.txt,"Okay, so I thi nk I mentioned in the opening r emarks maybe something that addressed your question about what would make us  go faster and slower.",0.600247,0.351509
20180926.txt,"You know, the main thing where we mi ght need to move along a little  bit quicker would be if inflation—inflation s urprises to the upsid e.  We don’t see that.",0.703290,0.403045
20180926.txt,We really don’t see that.,0.562806,0.163458
20180926.txt,"It’s not in our forecast, but any—so I woul d—I regard that as a risk.",0.678833,0.341150
20180926.txt,I  think either a significant— significant—correction and lasting correction in financial mark ets or a slowing down in the economy that’s inconsistent wit h our forecast—those are the kin ds of things we’d react to.,0.538533,0.385052
20180926.txt,"In terms of what, you know, what we would do—you know, I think we’re always going to be adjusting monetary policy to—in light of conditions on th e ground.",0.788513,0.479547
20180926.txt,"So if the economy is weakening, then it’s very possible we’d be—we’d be cutting rate s and, you know, vice versa.",0.555572,0.496912
20180926.txt,And so I can’t rule that out.,0.567833,0.251798
20180926.txt,"I t—I think it’s  quite difficult,  though, to know what the effects— what the sort of end effects of  fiscal policy are going to be i n 2020.",0.674030,0.212504
20180926.txt,"It’s difficult to know what the policy will be, let alone what their effects will be that f ar out.",0.632373,0.130586
20180926.txt,"So we have to make estimates, but we know that they’re highly uncertain.",0.694084,0.350211
20180926.txt,EDWARD LAWRENCE.,0.508104,0.075807
20180926.txt,Edward Lawre nce from Fox Business.,0.377452,0.085781
20180926.txt,"Thank you , Chairman.",0.505610,0.452069
20180926.txt,The unemployment rate is now at  3.9 percent.,0.299725,0.190236
20180926.txt,The average hourly wages rose 2.9 percent for the past 12 months.,0.185442,0.655322
20180926.txt,"Inflation, according to your numbers, holding steady.",0.565547,0.574835
20180926.txt,"The amount of job vacancies that we have out there and the number of people coming back into the workforce this year—where is the point at whic h, then, we are actually above the natural rate of unemployment and the Federal Reserve should r eexamine the consistency of the rate hikes going forward so not to cool an expanding economy?",0.640959,0.496997
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,"You mean—you mean, where’s the point at which  inflation— unemployment is too low?",0.552638,0.173133
20180926.txt,Y eah.,0.480952,0.168533
20180926.txt,Yeah.,0.441489,0.227255
20180926.txt,"You know, so we’ve been —I think the perform—labor

September 26, 2018 Chairman Powe ll’s Press Conference FINAL force participation has surpri sed us on the upside.",0.523817,0.546400
20180926.txt,"There is a  long-run trend there, and we’ve now had basically five flat  years.",0.422785,0.356923
20180926.txt,"If you look—if you look at labor force participation, since the fourth quarter of ’13 till now, you really have a—kind of an oscillation that basically is a sideways movement in the face of  a significant downward trend, thanks to aging and other factors.",0.481203,0.202780
20180926.txt,"That’s a gain of well more than a percentage point in  participation, so that’s really— that’s really a good thing.",0.457387,0.618547
20180926.txt,"Those are people who are remaining  in contact with the labor force and looking for jobs, finding jobs .",0.489191,0.110106
20180926.txt,So that’s a great thing.,0.403458,0.498334
20180926.txt,"And, by the way, it’s a signal.",0.562504,0.406356
20180926.txt,It’ s one of the things that ha s allowed the unemployment rate not to fall further.,0.483687,0.566921
20180926.txt,"And it’ s a—it’s a signal, too, that there may be more there on the supply side, that there may be more labo r supply than th e prior trend would indicate.",0.563953,0.537114
20180926.txt,So it’s a very positive thing to see people staying in the labor force.,0.514914,0.446737
20180926.txt,"And, you know, we don’t know how long it can continue.",0.596634,0.195820
20180926.txt,"We have models, and we look at this—we look a t this question all the time.",0.579923,0.066594
20180926.txt,"And, you know, admittedly, we’ve been surprised on the positive  side here, so we’re open to the idea that that may continue or not.",0.553847,0.581971
20180926.txt,DONNA BORAK.,0.479680,0.061385
20180926.txt,"Hi, Chair.",0.496294,0.216824
20180926.txt,Donna Bor ak with CNN.,0.401336,0.066252
20180926.txt,"Just to follow  up on the tariff question, you said earlier that it seems as the effects of the tariff so far haven’t quite materialized—those weren’t your w ords verbat[im]—but Wal-Mart, Gap, Coca-Cola, General Motors, Macy’s have all said that they expect the tariffs to af fect the prices of everyday consumer goods.",0.664099,0.434680
20180926.txt,"So my question is, when—should there be an eff ect—when would you expect to see that?",0.620720,0.185919
20180926.txt,And at what point  do you start to become worried that it’s actual ly going to affect consumer spending and dampening economic growth?,0.379974,0.177052
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,It’s a concern.,0.598315,0.232534
20180926.txt,It’s a risk.,0.602762,0.244517
20180926.txt,"You know, so y ou could see prices moving up.",0.398262,0.628699
20180926.txt,"You don’t see it yet, but we—you could see retail p rices moving up.",0.348649,0.666931
20180926.txt,"The tariffs

September 26, 2018 Chairman Powe ll’s Press Conference FINAL might provide a basis for companie s to raise prices in a world where they’ve been very reluctant to and unable to raise prices, whe re raising prices is really d ifficult, you know, with the ability to shop on the internet.",0.601111,0.462368
20180926.txt,"This coul d provide, you know, a way for— again, we don’t see it in the numbers.",0.610276,0.288320
20180926.txt,"And, you know, until we see it in the numbers, it’s h ard to say how one would react.",0.627536,0.202912
20180926.txt,"And the other question would be, if you’re just talking about the effect on inflati on is, is it just a one-time increase in the price level, or is it actually fueling  higher inflation going forward?",0.590300,0.281719
20180926.txt,"And that’s a real—that’s an importa nt question in, in how we would think about the appropriate response.",0.675983,0.344004
20180926.txt,DONNA BORAK.,0.479680,0.061385
20180926.txt,"But is there a sens e of timing, in terms of when you might see that kick in, the effect of?",0.604750,0.171667
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,Don’t see it yet.,0.555205,0.169241
20180926.txt,"You know, don’t see it yet, but we—you’re hearing—I mean, broadly across the economy, it’s not just tarif fs.",0.584690,0.263126
20180926.txt,"You’re hearing—we’re hearing a lot of talk of labor s hortages, of material costs in particular industries.",0.566950,0.249088
20180926.txt,"We’re hearing a lot, you know, what amount to supply -side constraints and things like that, but we’re not seeing it.",0.577852,0.133631
20180926.txt,"We’re seeing a sort of modest  increase in wages, inflation  right around 2 percent, no sense of it moving up really, so we’re not seeing it yet.",0.541544,0.542807
20180926.txt,"And, you know , we just aren’t, and we’re watching very carefully.",0.688801,0.291718
20180926.txt,MICHAEL MCKEE.,0.494046,0.059414
20180926.txt,"Mr. Chairman, Michael McKee, Bloomberg Radio and Television.",0.501567,0.057623
20180926.txt,Financial conditions are still extremely loose by all the measu res that track that.,0.473647,0.234132
20180926.txt,The flow of funds shows the decline in short-term borrowing other than in T reasuries.,0.317823,0.403812
20180926.txt,So I’m wondering if that suggests a change in the wa y that tightening affects the e conomy.,0.646625,0.327936
20180926.txt,"And along those lines, you mentioned that you dropped the word “accommodative” doesn’t  suggest a change in policy.",0.649028,0.456908
20180926.txt,"But if you’re dropping forward guidance in terms of “accommodat ive,” does the do t plot really

September 26, 2018 Chairman Powe ll’s Press Conference FINAL serve any purpose anymore if , as you say, you can’t be confident out to 2021 what’s going to happen with the economy?",0.567681,0.147671
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,A couple questions in there.,0.554404,0.125505
20180926.txt,"So the dot plot —I mean, I—it’s not new.",0.549371,0.163438
20180926.txt,I don’t think it’s a new point that forecasts two and  three out—two or three years out are fairly uncertain.,0.672562,0.352756
20180926.txt,The dot plot  is individual FOMC particip ants who are writing down their individual views on the evolu tion of the economy and of appropr iate monetary policy.,0.636518,0.112455
20180926.txt,We don’t vote on that.,0.630395,0.176232
20180926.txt,These are individual forecasts.,0.563070,0.031411
20180926.txt,"I think market participants generally find that interesting information, and so it seems to me to be serving a purpose.",0.624717,0.318870
20180926.txt,I think the point with “accommodative” was that its useful life  was over.,0.527549,0.201106
20180926.txt,"You know, we put that in the statement in 2015, just when we lifted off, and  the idea was to provide assurance that we weren’t trying to slo w down the economy, but, in fact, we were still—interest rates were still going to be pushing to suppor t economic activity.",0.637365,0.582797
20180926.txt,"Well, that—you know, that purpose has been well served, and the language now doesn’t really say anyth ing that’s important to the way the Committee is thinking about policy going forward.",0.677283,0.320196
20180926.txt,That’s w hy that came out.,0.546265,0.187105
20180926.txt,Did I get— did I get all of your ques—?,0.483917,0.207911
20180926.txt,MICHAEL MCKEE.,0.494046,0.059414
20180926.txt,The idea that f inancial conditions remain loose  even though you raised rates 200 basis points?,0.582805,0.319097
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,"Yeah, you know, it’s—if you look at a broad f inancial conditions index, that’s pretty m uch the answer you’ll get.",0.590028,0.290643
20180926.txt,"We  don’t control that, and, as I mentioned earlier, we do take fi nancial conditions into account in what we do.",0.723224,0.337027
20180926.txt,"And financial conditions are affecting the broader economy, so, by definition, we’re taking them into account.",0.714844,0.336550
20180926.txt,"But if you look at—look at interest rates, you know, interest r ates—look at long-term interest rates this year and short-term int erest rates this year, there’ s very significant increases.",0.556815,0.604124
20180926.txt,"And, you

September 26, 2018 Chairman Powe ll’s Press Conference FINAL know, with your long and variable lag s, that should be—that sho uld be having an effect over time.",0.693447,0.424371
20180926.txt,VICTORIA GUIDA.,0.465424,0.040603
20180926.txt,"Hi, V ictoria Guida with Politico.",0.540555,0.260816
20180926.txt,"So Nellie L iang was just put forward by President Donald Trum p to the Fed Board, and I was j ust curious, you know, given that she’s a longtime veteran of the Fed, whether you could spe ak to what role you played in, you know, recommending candidates to the President, giving input on who he should nominate.",0.582474,0.183320
20180926.txt,"And then also, if I—if I may follo w up on the financial stability d iscussion from earlier, you know, you’ve mentioned before that corpor ate debt is at high levels, and I was curious whether, you know, you have any qualms about loosening up restrictions on le veraged lending by making that guidance less of a—less of a cudgel, I guess, while—at a time when leveraged lending is gaining steam?",0.649906,0.514239
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,"Okay, so in terms of nominations to the Fed, those are entirely, completely under the control of  the White House and, ultimately , the President.",0.601601,0.137431
20180926.txt,"And traditionally, the Fed Chair has been consulted on those, and I ’m happy to say that that has continued.",0.647092,0.413586
20180926.txt,"But these are—these are really decisions for the Wh ite House, and, you know, we are—think of us as just being c onsulted.",0.638892,0.218979
20180926.txt,"I will say that I’m v ery happy and excited about the team that we’re putting together , and I’m very much looking forward to having those offices up and down our hall filled.",0.499130,0.535023
20180926.txt,"It’s b een pretty quiet, more quieter  than usual, which is saying something on the Board hall.",0.479293,0.209611
20180926.txt,S o we’re looking forward to getti ng some people confirmed.,0.450252,0.469953
20180926.txt,"In terms of corporate debt, so t his is a—this is a—you know, I was an investor for a long time in areas that were very clo se to the leveraged lending markets.",0.580618,0.289018
20180926.txt,"So, you know, I have had a lot of experience in that.",0.551386,0.336093
20180926.txt,That m arket has evolved really sign ificantly since before the crisis.,0.586847,0.435471
20180926.txt,"And, you know, the banks take much l ess risk than they used to.",0.597203,0.242111
20180926.txt,"They’re—the—they’re

September 26, 2018 Chairman Powe ll’s Press Conference FINAL essentially in the business of distributing these loans and bon ds rather than keeping them on their balance sheet, to a much greater  degree.",0.636272,0.320529
20180926.txt,"But it’s also true—an d there’s significant research on this—that excessive risk-taking in the leveraged lending market s does have channels for affecting the real economy, if there’s overheating and that kin d of thing in those markets, so we monitor that carefully.",0.713272,0.436398
20180926.txt,"You know , the guidance is —isn’t binding, as you pointed out, that the leveraged lending isn’t binding, a nd that’s just—that’s just th e way that the law is interpreted.",0.631418,0.193795
20180926.txt,"So it’s something we’re monito ring, and, as I mentioned, we think overall vulnerabilities are moderate.",0.485921,0.641330
20180926.txt,BINYAMIN APPELBAUM.,0.495458,0.094122
20180926.txt,"Binya Appelbaum, the New York Times.",0.477852,0.083480
20180926.txt,"If I could come back to “accommodative,” do you think of policy as accommodativ e at present?",0.631661,0.215115
20180926.txt,"How close are you to neutrality, and do you share t he view of some of your co lleagues that you’ll eventually need to be restrictive?",0.659461,0.261701
20180926.txt,CHAIRMAN POWELL.,0.497449,0.112670
20180926.txt,"Okay, so are we accommodative now?",0.537076,0.202017
20180926.txt,"So I thin k if you look at the—look at the dot plot in the S EP, you’ll see that the federa l funds rate, even after today’s move, is below the longer-run neu tral estimate of every single participant that—who submits a— an estimate of that.",0.543028,0.243151
20180926.txt,"So that’s why this is the perfect time to take the language out, because, you know, it’s perfectly clear that there can’t be a signal because, you know, by definition, that means an accommodative policy.",0.637892,0.292201
20180926.txt,So it wasn’t because policy is not accommodative.,0.639713,0.261117
20180926.txt,It is still accommodative.,0.688666,0.377258
20180926.txt,"The thinking was more, as I mentioned, it’s mor e that the language has run its useful life.",0.620989,0.448406
20180926.txt,"There’s another point, th ough, too, which is, you know, we don’ t want to suggest either that we have this precise understanding of where “accommodative ” stops or suggest that that’s a really important point in our  thinking.",0.702308,0.305202
